City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,Omagh,54.6,-7.3,37.44,93,100,3.62,GB,2021-11-28 03:40:09
306,Poum,-20.2333,164.0167,80.76,76,12,10.0,NC,2021-11-28 03:40:10
307,Flinders,-34.5833,150.8552,63.68,68,88,11.41,AU,2021-11-28 03:40:10
308,Tiksi,71.6872,128.8694,-8.55,97,100,6.33,RU,2021-11-28 03:40:11
309,Luanda,-8.8368,13.2343,76.5,81,100,7.07,AO,2021-11-28 03:38:19
310,Tiruchchendur,8.4833,78.1167,82.69,87,100,17.29,IN,2021-11-28 03:40:12
311,Mendi,-6.1761,143.6513,64.71,86,87,4.21,PG,2021-11-28 03:40:12
312,Sheridan,44.8333,-106.9173,33.98,80,1,8.05,US,2021-11-28 03:40:12
313,Bom Jardim,-7.7958,-35.5872,72.77,80,71,4.09,BR,2021-11-28 03:40:13
314,Onega,63.9061,38.1404,11.32,96,100,3.69,RU,2021-11-28 03:40:13
315,Rocha,-34.4833,-54.3333,61.38,96,100,3.69,UY,2021-11-28 03:40:14
316,Rio Grande,-32.035,-52.0986,69.91,90,94,10.22,BR,2021-11-28 03:41:14
317,Salta,-24.7859,-65.4117,77.29,64,40,2.3,AR,2021-11-28 03:41:15
318,Cumberland,35.0502,-78.8664,45.84,48,1,5.75,US,2021-11-28 03:41:15
319,Khategaon,22.6,76.9167,72.34,39,69,5.5,IN,2021-11-28 03:41:15
320,Zemio,5.0314,25.1361,67.69,47,50,2.15,CF,2021-11-28 03:41:16
321,Yar-Sale,66.8333,70.8333,-8.84,97,68,9.75,RU,2021-11-28 03:41:16
322,Kapoeta,4.7717,33.5903,77.83,59,78,14.05,SS,2021-11-28 03:41:17
323,Tommot,58.9564,126.2925,4.03,87,99,9.37,RU,2021-11-28 03:41:17
324,Kovur,14.4833,79.9833,75.9,95,100,13.51,IN,2021-11-28 03:41:18
325,Souris,49.6172,-100.2612,19.26,92,7,5.64,CA,2021-11-28 03:41:18
326,Lubbenau,51.8667,13.9667,35.51,95,54,6.73,DE,2021-11-28 03:41:19
327,Kovernino,57.1253,43.8142,32.5,97,100,11.56,RU,2021-11-28 03:41:19
328,Saldanha,-33.0117,17.9442,62.65,95,86,11.74,ZA,2021-11-28 03:41:20
329,Marshfield,44.6689,-90.1718,33.53,64,75,9.22,US,2021-11-28 03:41:20
330,Okahandja,-21.9833,16.9167,68.31,23,0,2.68,NA,2021-11-28 03:41:21
